BHK,Flat Type,Locality,Area,Furnishing Status,Price
4 BHK,Independent,Old Bowenpally,1000,Unfurnished,16500
2 BHK,Independent,Khairatabad Road,700,Semi-Furnished,14000
2 BHK,Independent,Shaikpet,1200,Unfurnished,12000
5 BHK,Villa,Nallagandla Gachibowli,4000,Semi-Furnished,80000
5 BHK,Villa,Moinabad,7000,Furnished,2 L
3 BHK,Apartment,Pragathi Nagar,1570,Semi-Furnished,16000
2 BHK,Apartment,Boiguda,900,Unfurnished,17000
2 BHK,Apartment,Moosapet,1100,Semi-Furnished,15000
3 BHK,Apartment,Somajiguda,1500,Semi-Furnished,20000
3 BHK,Independent,Kothapet,1700,Semi-Furnished,40000
4 BHK,Apartment,Rajapur,2500,Semi-Furnished,40000
4 BHK,Villa,Kompally,4500,Semi-Furnished,68000
3 BHK,Apartment,Pocharam,1500,Semi-Furnished,12000
2 BHK,Independent,Kothapet,1400,Unfurnished,13500
,RK,Mansoorabad,500,Unfurnished,8000
1 BHK,Independent,Attapur,700,Unfurnished,8000
7 BHK,Independent,Miyapur,9900,Semi-Furnished,1.5 L
2 BHK,Apartment,Upparpally,1800,Unfurnished,15000
2 BHK,Apartment,Suraram,700,Semi-Furnished,14000
2 BHK,Apartment,Quthbullapur,1200,Unfurnished,13000
8 BHK,Villa,Kismatpur,3400,Semi-Furnished,50000
6 BHK,Apartment,Maheshwaram,2060,Semi-Furnished,30000
3 BHK,Independent,Nampally,2880,Furnished,50000
4 BHK,Apartment,Gachibowli,2499,Semi-Furnished,54000
3 BHK,Apartment,Ramachandra Puram,1300,Semi-Furnished,18000
1 BHK,Apartment,Indresham,700,Unfurnished,7500
3 BHK,Apartment,Gajulramaram Kukatpally,1620,Semi-Furnished,27000
3 BHK,Apartment,Krishna Reddy,1360,Semi-Furnished,18000
2 BHK,Apartment,East Bahadurpura,1503,Semi-Furnished,14500
2 BHK,Independent,Moghalpura,1200,Semi-Furnished,20000
3 BHK,Independent,Nagole,2700,Furnished,35000
2 BHK,Independent,Jillelguda,1400,Unfurnished,10000
2 BHK,Apartment,Toli Chowki,1100,Semi-Furnished,16000
8 BHK,Apartment,Nanakramguda,3300,Unfurnished,70000
2 BHK,Independent,Almasguda,1080,Semi-Furnished,6500
2 BHK,Apartment,muthangi,1200,Unfurnished,2 L
4 BHK,Independent,Shamshabad,3000,Furnished,45000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
2 BHK,Independent,Malakpet,1200,Unfurnished,18000
4 BHK,Independent,Kapra,1850,Semi-Furnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
2 BHK,Independent,Ramachandra Puram,950,Unfurnished,8500
2 BHK,Apartment,Nacharam,800,Furnished,10000
3 BHK,Apartment,Uppal,1800,Furnished,20000
,RK,Gowlidody,500,Furnished,16000
2 BHK,Apartment,Hyderguda,1200,Semi-Furnished,24000
3 BHK,Apartment,Nallakunta,1600,Semi-Furnished,27000
4 BHK,Independent,Sri Nagar,2200,Semi-Furnished,94000
3 BHK,Apartment,Banjara Hills,1750,Furnished,65000
3 BHK,Apartment,Somajiguda,2000,Furnished,55000
